Date : 2022-12-17 21:16:27
Directory : d:\CourseCode\Pattern\FarmRPG\FarmRPG\src
Total : 147 files,  4685 codes, 51 comments, 1029 blanks, all 5765 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        147 |      4,685 |         51 |      1,029 |      5,765 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |        147 |      4,685 |         51 |      1,029 |      5,765 |
| Actor                                                                         |         10 |        221 |          0 |         58 |        279 |
| Battle                                                                        |          7 |        317 |          0 |         65 |        382 |
| Choice                                                                        |         28 |        616 |          4 |        146 |        766 |
| Choice\battle                                                                 |          4 |         93 |          0 |         25 |        118 |
| Farm                                                                          |         10 |        192 |         11 |         57 |        260 |
| Item                                                                          |         35 |      1,049 |          7 |        226 |      1,282 |
| Item\Buff                                                                     |          6 |        124 |          0 |         30 |        154 |
| Item\Pool                                                                     |          1 |         28 |          0 |          7 |         35 |
| Item\Potion                                                                   |          9 |        161 |          1 |         39 |        201 |
| Item\Weapon                                                                   |         11 |        203 |          1 |         46 |        250 |
| Mgr                                                                           |         10 |        635 |         14 |        118 |        767 |
| Monster                                                                       |          5 |        111 |          0 |         30 |        141 |
| NPC                                                                           |          3 |        100 |          0 |         25 |        125 |
| Other                                                                         |          4 |        124 |          0 |         31 |        155 |
| Player                                                                        |         22 |        722 |         13 |        160 |        895 |
| Scene                                                                         |          6 |        318 |          1 |         57 |        376 |
| Shop                                                                          |          6 |        242 |          1 |         51 |        294 |
| TXT                                                                           |          1 |         38 |          0 |          5 |         43 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                      | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\Attack.java                   | Java     |         28 |          0 |          7 |         35 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\AttackWithWeapon.java         | Java     |         37 |          0 |         13 |         50 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\Defence.java                  | Java     |         33 |          0 |          6 |         39 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\Health.java                   | Java     |         38 |          0 |         11 |         49 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\IAttack.java                  | Java     |          5 |          0 |          2 |          7 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\IDefence.java                 | Java     |          6 |          0 |          2 |          8 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\IHealth.java                  | Java     |          6 |          0 |          2 |          8 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\IMovement.java                | Java     |          5 |          0 |          1 |          6 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\IVisual.java                  | Java     |          4 |          0 |          2 |          6 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Actor\Movement.java                 | Java     |         59 |          0 |         12 |         71 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Battle\Battle.java                  | Java     |        128 |          0 |         20 |        148 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Battle\BattleAction.java            | Java     |          7 |          0 |          2 |          9 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Battle\BattleMemberBase.java        | Java     |        131 |          0 |         24 |        155 |
| d:\CourseCode\Pattern\FarmRPG\FarmRPG\src\Battle\EquipItem.java               | Java     |         18 |          0 |          9 |         27 |
